id,createdTime,NAME,PHYLUM,SUBPHYLUM,CLASS,ORDER,SUBORDER,FAMILY,GENUS,POPU-SIZE,LIFESPAN(Y),TOPSPEED(KM/H),WEIGHT(KG),LENGTH(CM),HEIGHT(CM),ACTIVITY-PERIOD,REPRODUCTION,LIFESTYLE,SOCIAL,DOMESTICATED,TYPE,KINGDOM,EUROPE,ASIA,OCEANIA,SOUTH-AMERICA,NORTH-AMERICA,ANTARCTICA,AFRICA,POPU-STATUS,POPU-TREND,MATING-BEHAVIOR,REPRODUCTION-SEASON,PREGNANCY-DURATION(M),BABY-CARRYING(M),INDEPENDENT-AGE(M),FOREST,DUNES,RIVERS,MARINE,REEF,SEMI-DESERT,STEPPE,FRESHWATTER,ABYSSAL-ZONE,ICECAP,WETLANDS,MARSH,LAKES,COASTAL,CHAPARRAL,SHRUBLAND,RAINFOREST,INTERTIDAL-ZONE,URBAN,BENTHIC,ROCKY-AREAS,GRASSLAND,SAVANNA,MOUNTAINS,RIPARIAN,NERITIC-ZONE,ANTROPHOGENIC,ESTUARIES,OCEANIC-PELAGIC-ZONE,CAVES,AGRICULTURAL,ARID,COLD,TEMPERATE,POLAR,TROPICAL,POISONOUS
recSzaKqJI2jsnKe4,2023-11-04T18:51:02.000Z,Cameroon scaly-tail,Chordata,Vertebrata,Mammalia,Rodentia,Anomaluridae,Zenkerella,,1193.1500244140625,,,0.20000000298023224,20.5,,['Nocturnal'],,,,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
recT3tjyPp1upHglb,2023-11-04T18:49:01.000Z,Okapi,Chordata,Vertebrata,Mammalia,Artiodactyla,Giraffidae,Okapia,,40000.0,26.5,60.0,275.0,3.0,2.0,['Diurnal'],Viviparous,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Endangered (EN),Decreasing,Polygyny,August-October,16.0,1.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
recTBVFXT2XtmpW25,2023-11-04T18:49:20.000Z,California Ground Squirrel,Chordata,Vertebrata,Mammalia,Rodentia,Sciuridae,Otospermophilus,,,8.0,,0.5090000033378601,30.0,,['Diurnal'],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,Polygynandry,early,1.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
recTBViaE8QlQeFnQ,2023-11-04T18:49:00.000Z,Spotted Hyena,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Hyaenidae,Crocuta,37000.0,30.0,60.0,52.25,130.5,80.75,['Nocturnal'],Viviparous,Not a migrant,,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),Decreasing,Polygyny,year-round,4.0,2.0,15.0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No
recTBYQuW3RIcQx3A,2023-11-04T18:49:22.000Z,Geoffroy's Cat,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Felinae,,14.0,,3.5,60.0,,"['Nocturnal', 'Diurnal']",,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Least concern (LC),Stable,Polygyny,December-May,2.4000000953674316,,8.0,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No
recTE8xgWvvo0zdJx,2023-11-04T18:50:34.000Z,Oryzomys couesi,Chordata,Vertebrata,Mammalia,Rodentia,Cricetidae,Sigmodontinae,Oryzomys,436.75,,,0.0625,253.5,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,Yes,No,No,Least concern (LC),,Polygyny,,,,,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No
recTF3rJWINKF6jcq,2023-11-04T18:51:12.000Z,Bornean smooth-tailed treeshrew,Chordata,Vertebrata,Mammalia,Scandentia,Tupaiidae,Dendrogale,,,,,43.0,245.0,,['Diurnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Data deficient (DD),Decreasing,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
recTLn4cHRAH2CelU,2023-11-04T18:49:45.000Z,Silvery Lutung,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Simiiformes,Cercopithecidae,,31.0,,6.150000095367432,52.0,,['Diurnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Near Threatened (NT),Decreasing,Polygyny,year-round,6.400000095367432,,18.0,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
recTMfZaarMBIP13P,2023-11-04T18:50:48.000Z,Wood lemming,Chordata,Vertebrata,Mammalia,Rodentia,Cricetidae,Myopus,,235.35000610351562,,,0.032499998807907104,9.75,,[nan],,Migrating,,No domesticated,Terrestrial,Animalia,Yes,Yes,No,No,No,No,No,Least concern (LC),,,,0.699999988079071,,,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
recTQ3qoVJQBTGLOE,2023-11-04T18:50:33.000Z,Bushy-Tailed Opossum,Chordata,Vertebrata,Mammalia,Marsupialia,Didelphimorphia,Didelphidae,Glironiinae,,1.5,,0.22499999403953552,182.5,,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Least concern (LC),,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
