id,createdTime,NAME,PHYLUM,SUBPHYLUM,CLASS,ORDER,SUBORDER,FAMILY,GENUS,POPU-SIZE,LIFESPAN(Y),TOPSPEED(KM/H),WEIGHT(KG),LENGTH(CM),HEIGHT(CM),ACTIVITY-PERIOD,REPRODUCTION,LIFESTYLE,SOCIAL,DOMESTICATED,TYPE,KINGDOM,EUROPE,ASIA,OCEANIA,SOUTH-AMERICA,NORTH-AMERICA,ANTARCTICA,AFRICA,POPU-STATUS,POPU-TREND,MATING-BEHAVIOR,REPRODUCTION-SEASON,PREGNANCY-DURATION(M),BABY-CARRYING(M),INDEPENDENT-AGE(M),FOREST,DUNES,RIVERS,MARINE,REEF,SEMI-DESERT,STEPPE,FRESHWATTER,ABYSSAL-ZONE,ICECAP,WETLANDS,MARSH,LAKES,COASTAL,CHAPARRAL,SHRUBLAND,RAINFOREST,INTERTIDAL-ZONE,URBAN,BENTHIC,ROCKY-AREAS,GRASSLAND,SAVANNA,MOUNTAINS,RIPARIAN,NERITIC-ZONE,ANTROPHOGENIC,ESTUARIES,OCEANIC-PELAGIC-ZONE,CAVES,AGRICULTURAL,ARID,COLD,TEMPERATE,POLAR,TROPICAL,POISONOUS
rec03gojdZiwGxP7i,2023-11-04T18:49:06.000Z,African Buffalo,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bovinae,Syncerus,571000.0,20.0,,625.0,2.549999952316284,1.350000023841858,"['Nocturnal', 'Diurnal']",Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Near Threatened (NT),Decreasing,Polygynandry,rainy,11.5,1.0,18.0,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
rec05JJw1E0GPkR8R,2023-11-04T18:51:04.000Z,Julia Creek Dunnart,Chordata,Vertebrata,Mammalia,Marsupialia,Dasyuromorphia,Dasyuridae,Sminthopsis,,2.5,,0.054999999701976776,200.0,,['Nocturnal'],,,Solitary,No domesticated,Terrestrial,Animalia,No,No,Yes,No,No,No,No,Near Threatened (NT),Decreasing,,spring-summer,0.4000000059604645,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
rec08jhhQ08zxOZYI,2023-11-04T18:49:52.000Z,Kordofan Giraffe,Chordata,Vertebrata,Mammalia,Artiodactyla,Giraffidae,Giraffa,,1942.0,25.0,48.0,,,4.25,['Diurnal'],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Critically endangered (CR),Decreasing,Polygyny,year-round,14.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
rec09oQ6YDz9UE2r1,2023-11-04T18:49:35.000Z,Golden Monkey,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Simiiformes,Cercopithecidae,,19.0,,5.25,,,['Diurnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Endangered (EN),Decreasing,,,5.0,,24.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
rec0AsSJ30KZN5qE6,2023-11-04T18:51:07.000Z,Southeastern shrew,Chordata,Vertebrata,Mammalia,Eulipotyphla,Soricidae,Sorex,,31050.0,,,0.004000000189989805,89.0,,"['Diurnal', 'Nocturnal']",,,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,Polygynandry,,0.6000000238418579,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,,,,,,No
rec0GyWyDWnMt1gHo,2023-11-04T18:50:25.000Z,Variegated Squirrel,Chordata,Vertebrata,Mammalia,Rodentia,Sciuridae,Sciurus,,,15.5,,500.0,260.0,,['Diurnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,,April-May,1.2999999523162842,,3.75,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
rec0NUWBHAnxRB8eF,2023-11-04T18:49:50.000Z,Giant Sable Antelope,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Hippotraginae,Hippotragus,85000.0,22.0,56.0,229.0,,129.0,['Diurnal'],Viviparous,Not a migrant,,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Critically endangered (CR),Decreasing,,,9.0,,8.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec0Pd9LjAGS4e8HL,2023-11-04T18:50:06.000Z,Greater Mouse-Deer,Chordata,Vertebrata,Mammalia,Artiodactyla,Tragulidae,Tragulus,,,14.0,,6.5,72.5,32.5,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,Yes,Yes,No,No,No,No,Least concern (LC),Decreasing,,year-round,5.099999904632568,,2.5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
rec0VZmES4Yt3t2hJ,2023-11-04T18:50:03.000Z,Blue-Eyed Black Lemur,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lemuroidea,Lemuridae,1000.0,22.5,20.0,1.7999999523162842,42.0,,[nan],,,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Critically endangered (CR),Decreasing,Polygyny,April-June,4.199999809265137,,5.5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec0X0cr5CNVZWhKY,2023-11-04T18:50:33.000Z,Sharpe's Grysbok,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Antilopinae,Raphicerus,95000.0,,,9.25,70.0,52.5,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),Stable,,year-round,7.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
rec0YSaMJ326ukvqy,2023-11-04T18:49:18.000Z,Highland Cattle,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,,18.5,40.0,650.0,,105.0,['Diurnal'],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,,,,,,,,Not evaluated (NE),,Polygyny,,9.0,,6.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
rec0YUO5AzCk6FEjw,2023-11-04T18:49:30.000Z,Amami rabbit,Chordata,Vertebrata,Mammalia,Lagomorpha,Leporidae,Pentalagus,,145050.796875,,,2.4549999237060547,463.5,,['Nocturnal'],,,,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Endangered (EN),Decreasing,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
rec0aDfiVeNPWWM2c,2023-11-04T18:50:02.000Z,Yellow-Backed Duiker,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Cephalophus,,160000.0,16.0,,70.0,130.0,75.0,"['Diurnal', 'Nocturnal']",,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Near Threatened (NT),Decreasing,,year-round,5.5,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
rec0ab6NspolPjltu,2023-11-04T18:50:02.000Z,Boodie,Chordata,Vertebrata,Mammalia,Marsupialia,Diprotodontia,Potoroidae,Bettongia,,,,1.100000023841858,405.0,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,,,,,,,,Near Threatened (NT),Increasing,Polygyny,,0.699999988079071,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
rec0cQC9f56ShIlCh,2023-11-04T18:51:06.000Z,Pacific shrew,Chordata,Vertebrata,Mammalia,Eulipotyphla,Soricidae,Sorex,,,1.5,,0.014000000432133675,147.5,,['Nocturnal'],,,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,Polygynandry,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,No
rec0cXRJ6mnssQQCU,2023-11-04T18:49:28.000Z,Black-Capped Capuchin,Chordata,Vertebrata,Mammalia,Primates,Cebidae,Sapajus,,,35.0,,3.3499999046325684,44.5,,['Diurnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Least concern (LC),Decreasing,Polygyny,births,5.199999809265137,,9.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec0hlYrP8fZsEcZl,2023-11-04T18:48:54.000Z,Narwhal,Chordata,Vertebrata,Mammalia,Artiodactyla,Cetacea,Monodontidae,Monodon,80000.0,50.0,,1200.0,4.75,,[nan],Viviparous,Migrating,Social,No domesticated,Aquatic,Animalia,Yes,Yes,No,No,Yes,No,No,Near Threatened (NT),,Polygyny,March-May,15.0,1.0,12.0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No
rec0puulw9zkwktqT,2023-11-04T18:49:50.000Z,Riverine Rabbit,Chordata,Vertebrata,Mammalia,Lagomorpha,Leporidae,Bunolagus,,182000.0,3.5,,1.649999976158142,40.349998474121094,,['Nocturnal'],Viviparous,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Critically endangered (CR),Decreasing,Polygyny,,1.2000000476837158,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
rec0r5PPVg5WHMLkK,2023-11-04T18:50:38.000Z,Bates's pygmy antelope,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Neotragus,,18200.0,,,2.5,,,[nan],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),,,,6.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,No
rec0rPzkQdW2YNLID,2023-11-04T18:49:15.000Z,Asiatic Cheetah,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Acinonyx,12.0,15.0,112.0,44.0,123.5,,['Diurnal'],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Critically endangered (CR),,Polygyny,year-round,3.0,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No
rec12YRu8uFYEhRM4,2023-11-04T18:49:40.000Z,Southern Brown Bandicoot,Chordata,Vertebrata,Mammalia,Marsupialia,Peramelemorphia,Peramelidae,Isoodon,55000.0,3.0,,1.100000023841858,45.0,,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,Yes,No,No,No,No,Least concern (LC),Decreasing,,year-round,0.4000000059604645,,2.0,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
rec17HZAua0Rd1g9N,2023-11-04T18:49:29.000Z,Java Mouse-Deer,Chordata,Vertebrata,Mammalia,Artiodactyla,Tragulidae,Tragulus,,,14.0,,1.5,45.0,30.0,['Nocturnal'],Viviparous,Not a migrant,,No domesticated,Terrestrial,Animalia,No,Yes,Yes,No,No,No,No,Data deficient (DD),,Monogamy,November-December,4.5,,3.0,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
rec17OwVOorHmy8Xn,2023-11-04T18:49:41.000Z,Black Lion Tamarin,Chordata,Vertebrata,Mammalia,Primates,Callitrichidae,Leontopithecus,,1000.0,19.0,,0.6150000095367432,26.75,,['Diurnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Endangered (EN),Decreasing,Monogamy,"spring-autumn,",4.300000190734863,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
rec1AHlmw8iLJGLgb,2023-11-04T18:51:00.000Z,Macleay's dorcopsis,Chordata,Vertebrata,Mammalia,Marsupialia,Diprotodontia,Macropodidae,Dorcopsulus,29800.0,,,4.0,490.0,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,,,,,,,,Least concern (LC),Stable,Polygynandry,,0.699999988079071,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
rec1C5LcZEIpRcAZ4,2023-11-04T18:50:51.000Z,Long-Tongued Nectar Bat,Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Macroglossus,,,,,0.017999999225139618,72.5,,"['Diurnal', 'Nocturnal']",,Not a migrant,,No domesticated,Terrestrial,Animalia,No,Yes,Yes,No,No,No,No,Least concern (LC),Stable,,year-round,4.0,,2.1666667461395264,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
rec1KJtLYgrVS2wFm,2023-11-04T18:50:10.000Z,Rodrigues Flying Fox,Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus,,20000.0,30.0,,350.0,17.5,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Endangered (EN),Increasing,Polygyny,October-December,5.0,,9.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
rec1O7IidfgTcSecc,2023-11-04T18:50:33.000Z,Desert hare,Chordata,Vertebrata,Mammalia,Lagomorpha,Leporidae,Lepus,,125841.1484375,,,2.0625,58.0,,['Nocturnal'],,,Solitary,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Least concern (LC),,Polygynandry,,1.7000000476837158,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
rec1O7aUckoqFaHkD,2023-11-04T18:50:33.000Z,Greater white-toothed shrew,Chordata,Vertebrata,Mammalia,Eulipotyphla,Soricidae,Crocidura,,,1.5,,0.012500000186264515,7.5,,"['Diurnal', 'Nocturnal']",,Not a migrant,Social,No domesticated,Terrestrial,Animalia,Yes,No,No,No,No,No,Yes,Least concern (LC),Stable,Monogamy,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
rec1OVe4I3G9Doh5Q,2023-11-04T18:51:20.000Z,Buller's pocket gopher,Chordata,Vertebrata,Mammalia,Rodentia,Geomyidae,Pappogeomys,,,,,225.0,214.5,,"['Diurnal', 'Nocturnal']",,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,Polygyny,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
rec1WT16J9ifqgunZ,2023-11-04T18:50:52.000Z,Andrews' beaked whale,Chordata,Vertebrata,Mammalia,Artiodactyla,Cetacea,Ziphiidae,Mesoplodon,,,,2359.0,3.3499999046325684,,[nan],,,Solitary,No domesticated,,Animalia,No,No,No,Yes,No,No,Yes,Data deficient (DD),,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
rec1X4HP5CzV9rMKt,2023-11-04T18:50:35.000Z,White-lipped tamarin,Chordata,Vertebrata,Mammalia,Primates,Callitrichidae,Saguinus,,28982.94921875,,,0.512499988079071,26.0,,['Diurnal'],,,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Least concern (LC),Decreasing,Polyandry,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec1aP5HR1hcUKIuX,2023-11-04T18:50:01.000Z,Garden dormouse,Chordata,Vertebrata,Mammalia,Rodentia,Gliridae,Eliomys,,623300.0,,,0.08250000327825546,250.0,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,Yes,Yes,No,No,No,No,No,Near Threatened (NT),Decreasing,,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
rec1b4ZQ7749sibYZ,2023-11-04T18:49:58.000Z,Natal Multimammate Mouse,Chordata,Vertebrata,Mammalia,Rodentia,Muroidea,Muridae,Mastomys,,2.5,,0.06300000101327896,145.0,,[nan],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),Stable,,year-round,0.800000011920929,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
rec1cmGzwqtLndmgw,2023-11-04T18:50:19.000Z,Brazilian Guinea Pig,Chordata,Vertebrata,Mammalia,Rodentia,Caviidae,Cavia,,,6.5,,637.0,272.0,,"['Diurnal', 'Nocturnal']",,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Least concern (LC),Stable,Polygyny,year-round,2.0999999046325684,,0.8333333134651184,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec1dYkJTOcycbpVY,2023-11-04T18:49:12.000Z,Indian Giant Squirrel,Chordata,Vertebrata,Mammalia,Rodentia,Sciuridae,Ratufa,,,20.0,32.0,1.75,35.0,,['Diurnal'],Viviparous,Not a migrant,Solitary,No domesticated,,Animalia,No,Yes,No,No,No,No,No,Least concern (LC),Decreasing,,year-round,1.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec1eLH6ihkjJb6zz,2023-11-04T18:51:19.000Z,Emilia's gracile opossum,Chordata,Vertebrata,Mammalia,Marsupialia,Didelphimorphia,Didelphidae,Gracilinanus,75200.0,,,0.012000000104308128,217.0,,['Nocturnal'],,,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Data deficient (DD),,Polygyny,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec1fdwWP6tUrL0eX,2023-11-04T18:50:07.000Z,Bongo Antelope,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bovinae,Tragelaphus,,19.0,70.0,277.5,2.5,1.149999976158142,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Near Threatened (NT),Decreasing,Polygyny,October-January,9.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
rec1iCURagxIDjkrH,2023-11-04T18:49:51.000Z,West Caucasian Tur,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Caprinae,Capra,4.5,13.0,,,,1.0,['Nocturnal'],Viviparous,,Social,No domesticated,Terrestrial,Animalia,Yes,Yes,No,No,No,No,No,Endangered (EN),Decreasing,,late,5.199999809265137,,3.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
rec1kWzHsb3kb7Hno,2023-11-04T18:49:09.000Z,Red Squirrel,Chordata,Vertebrata,Mammalia,Rodentia,Sciuridae,Sciurus,,7.5,7.5,23.0,0.29499998688697815,21.0,,['Diurnal'],Viviparous,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,Yes,Yes,No,No,No,No,No,Least concern (LC),Decreasing,Polygyny,"February-March,",1.2999999523162842,4.0,1.75,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
rec1tlXsqiF7me7pQ,2023-11-04T18:51:20.000Z,Commissaris's long-tongued bat,Chordata,Vertebrata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,,,,,9.0,54.0,,['Nocturnal'],,,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,Yes,No,No,Least concern (LC),Stable,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
rec1vXfxHD2241vLK,2023-11-04T18:51:07.000Z,Taiga vole,Chordata,Vertebrata,Mammalia,Rodentia,Cricetidae,Arvicolinae,Microtus,,1.5,,0.15000000596046448,206.0,,[nan],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,Polygyny,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,No
rec1va44pHsZFrYU2,2023-11-04T18:49:47.000Z,Russian Desman,Chordata,Vertebrata,Mammalia,Eulipotyphla,Talpidae,Desmana,,13000.0,4.0,,0.46000000834465027,19.5,,['Nocturnal'],Viviparous,Not a migrant,Social,No domesticated,,Animalia,Yes,Yes,No,No,No,No,No,Endangered (EN),Decreasing,,end,,,,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
rec1wLzPeYBXPFJbd,2023-11-04T18:50:17.000Z,Striped hog-nosed skunk,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mephitidae,Conepatus,,,,1600.0,570.0,,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,Yes,Yes,No,No,Least concern (LC),,,,1.399999976158142,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec1wMysuh2SQ49re,2023-11-04T18:48:53.000Z,Lion,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,31000.0,18.5,56.0,184.5,195.0,,"['Nocturnal', 'Diurnal']",Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,Yes,Vulnerable (VU),Decreasing,Polygyny,"year-round,",3.799999952316284,4.5,24.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
rec1yFF7zReqzwMia,2023-11-04T18:50:38.000Z,Spotted Ground Squirrel,Chordata,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,Marmotini,,2.5,,0.18050000071525574,219.0,,"['Diurnal', 'Nocturnal']",,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,,from,0.800000011920929,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
rec1zMehBVE8Uvaob,2023-11-04T18:50:12.000Z,Subantarctic Fur Seal,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Pinnipedia,Otariidae,,22.5,,105.0,1.7000000476837158,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,Yes,Yes,No,Yes,Yes,Least concern (LC),Stable,Polygyny,November-January,12.800000190734863,,11.0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No
rec1zO8oPxhh3u98L,2023-11-04T18:49:23.000Z,Paca,Chordata,Vertebrata,Mammalia,Rodentia,Cuniculidae,Cuniculus,,,12.5,,10.0,63.5,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,Yes,No,Yes,Least concern (LC),Stable,Monogamy,Year-round,3.9000000953674316,,4.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
rec20errUdnsN0M4w,2023-11-04T18:49:19.000Z,Greater Kudu,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bovinae,Tragelaphus,482000.0,15.0,96.0,195.0,215.0,130.0,"['Diurnal', 'Nocturnal']",Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),Stable,Polygyny,end,8.0,,6.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
